age_slot,country,gender_slug,phototype_slug,protect,expo,count,protect_percent,expo_percent
20-39,INDIA,male,iii_iv,71,218,385,18.441558441558442,56.62337662337662
20-39,INDIA,male,i_ii,71,171,323,21.981424148606813,52.94117647058824
20-39,INDIA,male,v_vi,17,51,102,16.666666666666664,50.0
20-39,INDIA,female,iii_iv,94,236,383,24.54308093994778,61.61879895561357
20-39,INDIA,female,i_ii,83,208,384,21.614583333333336,54.166666666666664
20-39,INDIA,female,v_vi,13,29,62,20.967741935483872,46.774193548387096
20-39,SOUTH KOREA,male,iii_iv,16,174,262,6.106870229007633,66.41221374045801
20-39,SOUTH KOREA,male,i_ii,18,145,245,7.346938775510205,59.183673469387756
20-39,SOUTH KOREA,male,v_vi,1,8,11,9.090909090909092,72.72727272727273
20-39,SOUTH KOREA,female,iii_iv,16,148,235,6.808510638297872,62.97872340425532
20-39,SOUTH KOREA,female,i_ii,22,143,237,9.282700421940929,60.337552742616026
20-39,SOUTH KOREA,female,v_vi,0,6,14,0.0,42.857142857142854
20-39,AUSTRALIA,male,iii_iv,26,116,204,12.745098039215685,56.86274509803921
20-39,AUSTRALIA,male,i_ii,40,117,205,19.51219512195122,57.073170731707314
20-39,AUSTRALIA,male,v_vi,8,20,40,20.0,50.0
20-39,AUSTRALIA,female,iii_iv,32,101,160,20.0,63.125
20-39,AUSTRALIA,female,i_ii,48,122,211,22.748815165876778,57.81990521327014
20-39,AUSTRALIA,female,v_vi,3,14,21,14.285714285714285,66.66666666666666
20-39,CHINA,male,iii_iv,100,381,816,12.254901960784313,46.69117647058824
20-39,CHINA,male,i_ii,39,140,317,12.302839116719243,44.164037854889585
20-39,CHINA,male,v_vi,8,42,121,6.6115702479338845,34.710743801652896
20-39,CHINA,female,iii_iv,101,285,688,14.680232558139537,41.424418604651166
20-39,CHINA,female,i_ii,75,195,528,14.204545454545455,36.93181818181818
20-39,CHINA,female,v_vi,4,14,59,6.779661016949152,23.728813559322035
20-39,ITALY,male,iii_iv,34,149,277,12.274368231046932,53.79061371841155
20-39,ITALY,male,i_ii,60,171,342,17.543859649122805,50.0
20-39,ITALY,male,v_vi,2,8,21,9.523809523809524,38.095238095238095
20-39,ITALY,female,iii_iv,63,123,232,27.155172413793103,53.01724137931034
20-39,ITALY,female,i_ii,76,185,408,18.627450980392158,45.34313725490196
20-39,ITALY,female,v_vi,2,6,11,18.181818181818183,54.54545454545454
20-39,DENMARK,male,iii_iv,9,38,59,15.254237288135593,64.40677966101694
20-39,DENMARK,male,i_ii,18,71,132,13.636363636363635,53.78787878787878
20-39,DENMARK,male,v_vi,1,7,15,6.666666666666667,46.666666666666664
20-39,DENMARK,female,iii_iv,5,23,38,13.157894736842104,60.526315789473685
20-39,DENMARK,female,i_ii,31,94,144,21.52777777777778,65.27777777777779
20-39,DENMARK,female,v_vi,0,2,5,0.0,40.0
20-39,POLAND,male,iii_iv,7,69,162,4.320987654320987,42.592592592592595
20-39,POLAND,male,i_ii,33,148,314,10.509554140127388,47.13375796178344
20-39,POLAND,male,v_vi,1,2,9,11.11111111111111,22.22222222222222
20-39,POLAND,female,iii_iv,21,68,141,14.893617021276595,48.226950354609926
20-39,POLAND,female,i_ii,46,140,344,13.372093023255813,40.69767441860465
20-39,POLAND,female,v_vi,1,3,5,20.0,60.0
20-39,CANADA,male,iii_iv,26,119,204,12.745098039215685,58.333333333333336
20-39,CANADA,male,i_ii,21,102,213,9.859154929577464,47.88732394366197
20-39,CANADA,male,v_vi,6,28,51,11.76470588235294,54.90196078431373
20-39,CANADA,female,iii_iv,27,86,170,15.88235294117647,50.588235294117645
20-39,CANADA,female,i_ii,34,131,246,13.821138211382115,53.2520325203252
20-39,CANADA,female,v_vi,1,9,25,4.0,36.0
20-39,MEXICO,male,iii_iv,47,261,411,11.435523114355231,63.503649635036496
20-39,MEXICO,male,i_ii,23,105,189,12.16931216931217,55.55555555555556
20-39,MEXICO,male,v_vi,8,38,65,12.307692307692308,58.46153846153847
20-39,MEXICO,female,iii_iv,79,302,491,16.08961303462322,61.5071283095723
20-39,MEXICO,female,i_ii,53,134,201,26.368159203980102,66.66666666666666
20-39,MEXICO,female,v_vi,9,27,48,18.75,56.25
20-39,FRANCE,male,iii_iv,43,143,275,15.636363636363637,52.0
20-39,FRANCE,male,i_ii,48,183,353,13.59773371104816,51.84135977337111
20-39,FRANCE,male,v_vi,5,30,65,7.6923076923076925,46.15384615384615
20-39,FRANCE,female,iii_iv,38,108,233,16.30901287553648,46.3519313304721
20-39,FRANCE,female,i_ii,73,168,411,17.761557177615572,40.87591240875913
20-39,FRANCE,female,v_vi,6,21,44,13.636363636363635,47.72727272727273
20-39,GERMANY,male,iii_iv,19,105,204,9.313725490196079,51.470588235294116
20-39,GERMANY,male,i_ii,48,237,462,10.38961038961039,51.298701298701296
20-39,GERMANY,male,v_vi,3,11,26,11.538461538461538,42.30769230769231
20-39,GERMANY,female,iii_iv,30,109,179,16.75977653631285,60.893854748603346
20-39,GERMANY,female,i_ii,65,239,451,14.412416851441243,52.993348115299334
20-39,GERMANY,female,v_vi,2,12,16,12.5,75.0
20-39,ISRAEL,male,iii_iv,9,79,124,7.258064516129033,63.70967741935484
20-39,ISRAEL,male,i_ii,12,63,94,12.76595744680851,67.02127659574468
