Pays,Lon,Lat,Globocan,Flags,ghi (kWh/m2),Delta ghi 2040 (W/m2),ghi (W/m2),pourcentage
Afghanistan,65.0,33.0,Afghanistan,Afghanistan,2150,-4,"245,1","-1,63"
Albania,20.0,41.0,Albania,Albanie,1600,13,"182,4","7,13"
Algeria,3.0,28.0,Algeria,Algérie,2150,-3,"245,1","-1,22"
Andorra,1.6,42.5,,Andorre,1550,11,"176,7","6,23"
Angola,18.0,-12.0,Angola,Angola,2150,-5,"245,1","-2,04"
Antigua and Barbuda,-61.0,17.0,,Antigua et Barbuda,2000,2,228,"0,88"
Argentina,-64.0,-34.0,Argentina,Argentine,1800,-1,"205,2","-0,49"
Armenia,45.0,40.0,Armenia,Arménie,1600,0,"182,4","0,00"
Australia,133.0,-25.0,Australia,Australie,2250,0,"256,5","0,00"
Austria,14.0,47.0,Austria,Autriche,1200,14,"136,8","10,23"
Azerbaijan,47.0,40.0,Azerbaijan,Azerbaidjan,1500,0,171,"0,00"
Bahamas,-77.0,25.0,Bahamas,Bahamas,1950,3,"222,3","1,35"
Bahrain,50.0,26.0,Bahrain,Bahrein,2100,-9,"239,4","-3,76"
Bangladesh,90.0,23.0,Bangladesh,Bangladesh,1650,-14,"188,1","-7,44"
Barbados,-59.0,13.0,Barbados,Barbade,2100,3,"239,4","1,25"
Belarus,28.0,53.0,Belarus,Bielorussie,1100,12,"125,4","9,57"
Belgium,4.0,50.0,Belgium,Belgique,1100,14,"125,4","11,16"
Belize,-88.0,17.0,Belize,Belize,1850,3,"210,9","1,42"
Benin,2.0,9.0,Benin,Benin,1900,-12,"216,6","-5,54"
Bhutan,90.0,27.0,Bhutan,Bhoutan,1450,-12,"165,3","-7,26"
Bolivia,-65.0,-17.0,Bolivia,Bolivie,2200,8,"250,8","3,19"
Bosnia and Herzegovina,18.0,44.0,Bosnia Herzegovina,Bosnie-Herzegovine,1400,14,"159,6","8,77"
Botswana,24.0,-22.0,Botswana,Botswana,2200,0,"250,8","0,00"
Brazil,-55.0,-10.0,Brazil,Bresil,2000,9,228,"3,95"
Brunei,114.0,4.0,Brunei Darussalam,Brunei,1800,3,"205,2","1,46"
Bulgaria,25.0,42.0,Bulgaria,Bulgarie,1450,14,"165,3","8,47"
Burkina Faso,-1.0,12.0,Burkina Faso,Burkina Faso,2150,-10,"245,1","-4,08"
Burundi,30.0,-3.5,Burundi,Burundi,1950,-1,"222,3","-0,45"
Cabo Verde,-23.6,15.1,Cape Verde,Cap-Vert,2150,-2,"245,1","-0,82"
Cambodia,105.0,13.0,Cambodia,Cambodge,1900,0,"216,6","0,00"
Cameroon,12.0,4.5,Cameroon,Cameroun,1950,-7,"222,3","-3,15"
Canada,-106.0,56.0,Canada,Canada,1200,1,"136,8","0,73"
Central African Republic,21.0,7.0,Central African Republic,Centrafricaine Republique,2100,-7,"239,4","-2,92"
Chad,18.0,15.0,Chad,Tchad,2250,-7,"256,5","-2,73"
Chile,-71.0,-30.0,Chile,Chili,1800,2,"205,2","0,97"
China,103.0,35.0,China,Chine,1500,3,171,"1,75"
Colombia,-72.0,4.0,Colombia,Colombie,1850,4,"210,9","1,90"
Comoros,44.0,-12.0,Comoros,Comores,1800,2,"205,2","0,97"
Congo (Brazzaville),15.0,-1.0,"Congo, Republic of",Republique Congo-Brazzaville,1850,-2,"210,9","-0,95"
Congo (Kinshasa),21.0,-2.0,"Congo, Democratic Republic of",Republique Congo-Kinshasa,1800,-5,"205,2","-2,44"
Costa Rica,-84.0,10.0,Costa Rica,Costa Rica,1800,3,"205,2","1,46"
Côte d'Ivoire,-5.0,8.0,CÃ´te d'Ivoire,Cote Ivoire,1800,-11,"205,2","-5,36"
Croatia,16.0,45.0,Croatia,Croatie,1300,14,"148,2","9,45"
Cuba,-78.0,21.0,Cuba,Cuba,2000,3,228,"1,32"
Cyprus,33.0,35.0,Cyprus,Chypre,1900,1,"216,6","0,46"
Czechia,15.5,49.8,Czechia,Republique Tcheque,1100,14,"125,4","11,16"
Denmark,10.0,56.0,Denmark,Danemark,1000,10,114,"8,77"
Djibouti,42.0,11.0,Djibouti,Djibouti,2250,-8,"256,5","-3,12"
Dominica,-61.0,15.5,,Dominique,1700,3,"193,8","1,55"
Dominican Republic,-70.0,19.0,Dominican Republic,République Dominicaine,1850,3,"210,9","1,42"
Ecuador,-78.0,-1.5,Ecuador,Equateur,1600,7,"182,4","3,84"
Egypt,30.0,26.0,Egypt,Egypte,2300,6,"262,2","2,29"
El Salvador,-88.0,13.0,El Salvador,Salvador,2200,1,"250,8","0,40"
Equatorial Guinea,10.0,2.0,Equatorial Guinea,Guinee equatoriale,1700,-4,"193,8","-2,06"
Eritrea,39.0,15.0,Eritrea,Erythrée,2200,-6,"250,8","-2,39"
Estonia,26.0,59.0,Estonia,Estonie,1000,7,114,"6,14"
Eswatini,31.5,-26.5,Eswatini,Eswatini,1750,0,"199,5","0,00"
Ethiopia,40.0,9.0,Ethiopia,Ethiopie,2200,-11,"250,8","-4,39"
