country,variation,variation2
Afghanistan,76.7,81.4
Albania,12.1,40.4
Algeria,72.9,82.2
Angola,120.4,102.9
Argentina,39.4,46.9
Armenia,20.3,34.7
Australia,40.9,37.2
Austria,19.4,37.8
Azerbaijan,42.7,53.8
Bahamas,100.0,71.4
Bahrain,100.0,108.3
Bangladesh,83.3,84.1
Barbados,0.0,25.0
Belarus,10.8,26.1
Belgium,14.7,34.3
Belize,75.0,82.6
Benin,80.0,80.1
Bhutan,0.0,100.0
Bolivia,36.2,13.0
Bosnia Herzegovina,5.7,15.4
Botswana,90.0,80.8
Brazil,49.4,67.1
Brunei Darussalam,37.5,87.1
Bulgaria,-1.9,8.9
Burkina Faso,103.4,92.3
Burundi,107.8,105.1
CÃ´te d'Ivoire,87.5,80.0
Cambodia,81.4,102.6
Cameroon,99.3,89.7
Canada,40.5,66.7
Cape Verde,66.7,133.3
Central African Republic,52.2,61.4
Chad,89.7,86.3
Chile,47.8,79.5
China,45.5,61.6
Colombia,62.2,76.1
Comoros,100.0,54.5
"Congo, Democratic Republic of",81.4,83.2
"Congo, Republic of",111.4,103.7
Costa Rica,59.7,76.0
Croatia,4.5,23.7
Cuba,26.4,31.3
Cyprus,50.0,76.6
Czechia,7.4,20.1
Denmark,17.1,32.4
Djibouti,0.0,72.2
Dominican Republic,47.5,38.2
Ecuador,71.9,84.7
Egypt,68.0,74.8
El Salvador,37.1,40.2
Equatorial Guinea,233.3,168.4
Eritrea,62.5,67.6
Estonia,5.6,15.6
Eswatini,100.0,65.8
Ethiopia,88.2,88.8
Fiji,57.1,60.0
Finland,14.9,30.0
France (metropolitan),13.5,33.5
"France, Guadeloupe",-8.3,19.4
"France, La RÃ©union",35.9,37.5
"France, Martinique",5.9,21.2
French Guyana,71.4,75.8
French Polynesia,68.4,68.4
Gabon,100.0,93.0
Gaza Strip and West Bank,87.5,88.2
Georgia,-1.7,4.7
Germany,14.1,28.3
Ghana,71.4,73.0
Greece,6.7,17.4
Guam,0.0,0.0
Guatemala,71.0,68.7
Guinea,85.5,88.6
Guinea-Bissau,100.0,84.4
Guyana,0.0,50.0
Haiti,34.6,30.1
Honduras,76.1,72.2
Hungary,7.6,15.5
Iceland,40.7,61.3
India,63.4,63.2
Indonesia,64.2,66.4
Iran (Islamic Republic of),95.8,100.1
Iraq,107.2,113.3
Ireland,45.1,65.4
Israel,47.2,48.3
Italy,4.3,23.8
Jamaica,35.7,28.2
Japan,5.6,16.0
Jordan,82.8,113.5
Kazakhstan,36.8,46.9
Kenya,104.2,94.4
Korea (Democratic People Republic of),38.1,52.6
Kuwait,114.3,170.6
Kyrgyzstan,65.1,88.8
Lao People's Democratic Republic,68.0,78.9
Latvia,-3.0,0.0
Lebanon,11.6,34.0
Lesotho,33.3,35.8
Liberia,68.8,64.5
Libya,57.1,100.0
Lithuania,2.0,9.8
Luxembourg,38.2,67.8
Madagascar,114.2,89.2
Malawi,92.7,91.7
Malaysia,84.5,87.4
Maldives,0.0,212.5
Mali,96.2,94.8
Malta,39.2,69.4
Mauritania,78.6,69.8
Mauritius,20.0,44.9
Mexico,57.3,79.7
Moldova,-19.3,-13.0
Mongolia,80.0,120.8
Montenegro,13.8,25.2
Morocco,56.4,62.3
Mozambique,89.9,82.8
Myanmar,66.7,55.2
Namibia,75.4,74.3
Nepal,51.1,51.2
New Caledonia,52.0,84.3
New Zealand,45.1,39.1
Nicaragua,71.7,73.6
Niger,92.3,96.6
Nigeria,85.4,74.7
North Macedonia,31.7,44.3
Norway,35.3,48.8
Oman,84.2,84.9
Pakistan,64.0,60.8
Panama,66.1,83.0
Papua New Guinea,91.4,108.3
Paraguay,51.3,49.6
Peru,54.0,62.3
Philippines,69.7,73.3
Poland,24.4,39.5
Portugal,10.5,23.3
Puerto Rico,36.2,37.7
Qatar,233.3,100.0
Republic of Korea,48.5,75.4
Romania,6.4,14.3
Russian Federation,8.4,15.8
Rwanda,82.3,80.7
Saint Lucia,0.0,0.0
Samoa,0.0,0.0
Sao Tome and Principe,0.0,100.0
Saudi Arabia,154.7,160.6
Senegal,101.7,91.4
Serbia,-12.3,-0.5
Sierra Leone,100.0,75.0
Singapore,66.7,125.5
Slovakia,23.9,48.2
Slovenia,15.4,33.2
Solomon Islands,0.0,50.0
Somalia,80.0,83.5
South Africa,62.1,70.5
South Sudan,59.6,54.6
Spain,18.3,39.5
Sri Lanka,27.0,36.0
Sudan,76.3,70.9
Suriname,75.0,50.0
Sweden,23.7,34.4
Switzerland,31.4,47.8
Syrian Arab Republic,123.8,131.0
TÃ¼rkiye,51.8,68.5
Tajikistan,84.6,92.9
"Tanzania, United Republic of",118.8,105.9
Thailand,60.3,84.6
The Netherlands,16.6,36.7
The Republic of the Gambia,100.0,100.0
Timor-Leste,0.0,50.0
Togo,102.2,83.2
Trinidad and Tobago,66.7,57.9
Tunisia,68.8,67.0
Turkmenistan,75.6,83.3
Uganda,92.9,89.6
Ukraine,-0.7,12.8
United Arab Emirates,100.0,125.9
United Kingdom,21.4,35.7
United States of America,33.7,55.4
Uruguay,19.5,23.9
Uzbekistan,70.5,76.8
Vanuatu,0.0,0.0
Venezuela,41.7,69.5
Viet Nam,61.5,67.4
Yemen,111.8,98.3
Zambia,117.9,111.1
Zimbabwe,81.6,81.1
