Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
"16,17",Melanoma of skin; Non-melanoma skin cancer,4,Afghanistan,2,0,313,2022,313,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,4,Afghanistan,2,0,313,2025,338,25,7.9872,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,4,Afghanistan,2,0,313,2030,410,97,30.9904,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,4,Afghanistan,2,0,313,2035,497,184,58.7859,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,4,Afghanistan,2,0,313,2040,601,288,92.0128,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,4,Afghanistan,2,0,313,2045,729,416,132.9073,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,4,Afghanistan,2,0,313,2050,880,567,181.1502,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,8,Albania,2,0,166,2022,166,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,8,Albania,2,0,166,2025,182,16,9.6386,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,8,Albania,2,0,166,2030,204,38,22.8916,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,8,Albania,2,0,166,2035,224,58,34.9398,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,8,Albania,2,0,166,2040,241,75,45.1807,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,8,Albania,2,0,166,2045,252,86,51.8072,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,8,Albania,2,0,166,2050,257,91,54.8193,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,12,Algeria,2,0,729,2022,729,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,12,Algeria,2,0,729,2025,760,31,4.2524,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,12,Algeria,2,0,729,2030,923,194,26.6118,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,12,Algeria,2,0,729,2035,1117,388,53.2236,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,12,Algeria,2,0,729,2040,1336,607,83.2647,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,12,Algeria,2,0,729,2045,1571,842,115.5007,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,12,Algeria,2,0,729,2050,1816,1087,149.1084,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,24,Angola,2,0,308,2022,308,0,0,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,24,Angola,2,0,308,2025,379,71,23.0519,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,24,Angola,2,0,308,2030,455,147,47.7273,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,24,Angola,2,0,308,2035,550,242,78.5714,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,24,Angola,2,0,308,2040,658,350,113.6364,0
"16,17",Melanoma of skin; Non-melanoma skin cancer,24,Angola,2,0,308,2045,779,471,152.9221,0
