country,variation
Afghanistan,0.0
Algeria,0.0
Argentina,-18.1818
Australia,2.0408
Austria,0.0
Bangladesh,0.0
Belgium,-8.3333
Bolivia,0.0
Brazil,-13.3333
Brunei Darussalam,0.0
Bulgaria,0.0
Myanmar,0.0
Belarus,0.0
Cambodia,0.0
Cameroon,0.0
Canada,0.0
Chile,0.0
China,-30.9524
Colombia,-10.0
"Congo, Democratic Republic of",50.0
Croatia,0.0
Czechia,-9.0909
Denmark,0.0
Ecuador,0.0
Finland,-25.0
France (metropolitan),-9.7561
Georgia,0.0
Germany,-3.125
Greece,-50.0
Honduras,0.0
Hungary,0.0
India,-8.1633
Indonesia,-7.8431
Iran (Islamic Republic of),-14.2857
Iraq,0.0
Ireland,0.0
Israel,33.3333
Italy,-27.907
CÃ´te d'Ivoire,25.0
Japan,-33.3333
Kenya,0.0
Korea (Democratic People Republic of),0.0
Republic of Korea,0.0
Lao People's Democratic Republic,0.0
Luxembourg,0.0
Malaysia,0.0
Mali,100.0
Mexico,-20.0
Morocco,0.0
The Netherlands,-5.0
New Zealand,0.0
Nigeria,47.0588
Norway,-16.6667
Peru,0.0
Philippines,0.0
Poland,-12.5
Portugal,-33.3333
Romania,0.0
Russian Federation,-21.4286
Rwanda,0.0
Serbia,0.0
Slovakia,0.0
Viet Nam,0.0
Slovenia,0.0
South Africa,0.0
Zimbabwe,0.0
Spain,-25.0
Sweden,0.0
Switzerland,0.0
Syrian Arab Republic,50.0
Thailand,-33.3333
Togo,0.0
Tunisia,0.0
TÃ¼rkiye,-13.3333
Ukraine,-38.4615
Egypt,33.3333
United Kingdom,-9.0909
United States of America,-8.2969
Uzbekistan,0.0
Zambia,0.0
