country,variation
Afghanistan,70.0
Albania,22.5806
Algeria,103.6145
Angola,135.4839
Azerbaijan,57.5758
Argentina,54.86
Australia,52.2456
Austria,43.6567
Bahamas,150.0
Bahrain,100.0
Bangladesh,91.0959
Armenia,5.5556
Belgium,34.3966
Bolivia,43.9024
Bosnia Herzegovina,21.1864
Botswana,85.7143
Brazil,77.1069
Belize,80.0
Bulgaria,11.7647
Myanmar,87.037
Burundi,100.0
Belarus,28.6822
Cambodia,195.0
Cameroon,107.5472
Canada,56.0674
Central African Republic,62.5
Sri Lanka,36.5854
Chad,100.0
Chile,77.439
China,70.842
Colombia,84.3416
"Congo, Republic of",131.5789
"Congo, Democratic Republic of",78.8793
Costa Rica,82.0
Croatia,19.2
Cuba,46.6667
Cyprus,72.5
Czechia,23.6364
Benin,90.9091
Denmark,30.9744
Dominican Republic,70.5882
Ecuador,83.3333
El Salvador,25.0
Ethiopia,88.1356
Eritrea,50.0
Estonia,30.9859
Fiji,0.0
Finland,25.7506
France (metropolitan),25.6698
French Guyana,100.0
French Polynesia,100.0
Georgia,-5.2632
Gaza Strip and West Bank,120.0
Germany,29.6883
Greece,21.4153
"France, Guadeloupe",20.0
Guatemala,65.5172
Guinea,133.3333
Haiti,20.0
Honduras,100.0
Hungary,25.6842
Iceland,66.6667
India,80.2446
Indonesia,89.6552
Iran (Islamic Republic of),118.2609
Iraq,150.0
Ireland,69.6013
Israel,61.7834
Italy,31.5789
CÃ´te d'Ivoire,70.0
Jamaica,25.0
Japan,14.376
Kazakhstan,53.8462
Jordan,150.0
Kenya,138.8889
Korea (Democratic People Republic of),125.0
Republic of Korea,80.531
Kuwait,333.3333
Kyrgyzstan,76.9231
Lao People's Democratic Republic,100.0
Lebanon,50.0
Lesotho,33.3333
Latvia,17.2414
Liberia,100.0
Libya,100.0
Lithuania,22.1154
Luxembourg,81.6327
Madagascar,122.2222
Malawi,80.0
Malaysia,98.3333
Mali,114.2857
Malta,51.8519
"France, Martinique",14.2857
Mauritania,100.0
Mauritius,0.0
Mexico,85.7771
Mongolia,100.0
Moldova,-22.0
Montenegro,22.7273
Morocco,78.6667
Oman,160.0
Namibia,87.5
Nepal,50.0
The Netherlands,32.2685
New Caledonia,75.0
New Zealand,57.2178
Nicaragua,84.2105
Niger,88.8889
Nigeria,101.9417
Norway,55.0336
Pakistan,47.4026
Panama,89.6552
Papua New Guinea,104.4444
Paraguay,38.75
Peru,64.1584
Philippines,104.0541
Poland,35.8364
Portugal,25.2747
Puerto Rico,47.619
Qatar,300.0
"France, La RÃ©union",54.5455
Romania,22.5564
Russian Federation,21.5809
Rwanda,66.6667
Saudi Arabia,338.4615
Senegal,100.0
Serbia,-5.9603
Sierra Leone,100.0
Singapore,131.8182
Slovakia,46.7662
Viet Nam,98.4848
Slovenia,39.916
Somalia,61.5385
South Africa,76.3926
Zimbabwe,82.7586
Spain,48.0611
South Sudan,54.5455
Sudan,63.0435
Suriname,100.0
Eswatini,100.0
Sweden,33.6809
Switzerland,48.3184
Syrian Arab Republic,117.8571
Tajikistan,120.0
Thailand,98.5075
Togo,115.7895
Trinidad and Tobago,33.3333
United Arab Emirates,177.7778
Tunisia,81.8182
TÃ¼rkiye,91.1638
Turkmenistan,108.3333
Uganda,90.9091
Ukraine,17.2005
North Macedonia,35.7143
Egypt,78.2609
United Kingdom,35.7478
"Tanzania, United Republic of",140.4255
United States of America,48.2358
Uruguay,32.9545
Uzbekistan,101.9608
Venezuela,58.1081
Yemen,116.6667
Zambia,166.6667
