country,variation
Afghanistan,70.5
Albania,37.2
Algeria,81.4
Angola,94.6
Argentina,51.5
Armenia,18.8
Australia,36.7
Austria,43.7
Azerbaijan,51.4
Bahamas,46.7
Bahrain,122.2
Bangladesh,70.9
Barbados,0.0
Belarus,32.0
Belgium,44.4
Belize,76.9
Benin,78.8
Bhutan,83.3
Bolivia,10.6
Bosnia Herzegovina,16.5
Botswana,95.1
Brazil,67.0
Brunei Darussalam,107.7
Bulgaria,12.0
Burkina Faso,93.1
Burundi,109.0
CÃ´te d'Ivoire,74.3
Cambodia,124.3
Cameroon,91.9
Canada,71.1
Cape Verde,144.4
Central African Republic,63.0
Chad,85.7
Chile,87.4
China,53.1
Colombia,76.1
Comoros,60.0
"Congo, Democratic Republic of",81.8
"Congo, Republic of",117.9
Costa Rica,70.9
Croatia,34.2
Cuba,26.8
Cyprus,84.8
Czechia,24.6
Denmark,37.9
Djibouti,66.7
Dominican Republic,35.4
Ecuador,81.5
Egypt,74.3
El Salvador,28.3
Equatorial Guinea,177.8
Eritrea,64.5
Estonia,28.3
Eswatini,76.9
Ethiopia,86.7
Fiji,50.0
Finland,36.9
France (metropolitan),35.8
"France, Guadeloupe",4.1
"France, La RÃ©union",35.0
"France, Martinique",17.0
French Guyana,75.0
French Polynesia,66.7
Gabon,100.0
Gaza Strip and West Bank,83.0
Georgia,-2.1
Germany,34.1
Ghana,65.7
Greece,14.9
Guam,0.0
Guatemala,65.9
Guinea,109.9
Guinea-Bissau,84.6
Guyana,50.0
Haiti,25.8
Honduras,72.6
Hungary,23.0
Iceland,73.6
India,60.7
Indonesia,64.1
Iran (Islamic Republic of),96.0
Iraq,111.4
Ireland,68.3
Israel,53.3
Italy,29.7
Jamaica,23.9
Japan,13.9
Jordan,119.4
Kazakhstan,48.9
Kenya,99.1
Korea (Democratic People Republic of),72.6
Kuwait,185.7
Kyrgyzstan,101.9
Lao People's Democratic Republic,79.7
Latvia,10.2
Lebanon,26.6
Lesotho,44.8
Liberia,62.8
Libya,107.3
Lithuania,18.8
Luxembourg,79.1
Madagascar,86.9
Malawi,86.6
Malaysia,82.0
Maldives,250.0
Mali,102.9
Malta,79.2
Mauritania,61.5
Mauritius,45.3
Mexico,76.7
Moldova,-18.1
Mongolia,90.9
Montenegro,23.8
Morocco,64.9
Mozambique,88.6
Myanmar,60.2
Namibia,74.5
Nepal,50.4
New Caledonia,82.8
New Zealand,38.9
Nicaragua,76.5
Niger,98.3
Nigeria,77.4
North Macedonia,38.7
Norway,57.2
Oman,76.6
Pakistan,50.1
Panama,80.7
Papua New Guinea,103.5
Paraguay,40.6
Peru,58.0
Philippines,81.9
Poland,42.7
Portugal,25.0
Puerto Rico,36.4
Qatar,120.0
Republic of Korea,70.4
Romania,15.6
Russian Federation,22.7
Rwanda,76.8
Saint Lucia,0.0
Samoa,0.0
Sao Tome and Principe,100.0
Saudi Arabia,178.6
Senegal,91.9
Serbia,-5.6
Sierra Leone,100.0
Singapore,126.8
Slovakia,51.6
Slovenia,42.7
Solomon Islands,50.0
Somalia,79.7
South Africa,68.8
South Sudan,48.9
Spain,43.3
Sri Lanka,22.3
Sudan,66.1
Suriname,45.5
Sweden,39.7
Switzerland,53.0
Syrian Arab Republic,125.0
TÃ¼rkiye,74.6
Tajikistan,92.9
"Tanzania, United Republic of",98.6
Thailand,81.0
The Netherlands,42.8
The Republic of the Gambia,100.0
Timor-Leste,50.0
Togo,84.4
Trinidad and Tobago,41.7
Tunisia,59.1
Turkmenistan,79.7
Uganda,92.0
Ukraine,15.9
United Arab Emirates,130.1
United Kingdom,39.9
United States of America,59.4
Uruguay,29.4
Uzbekistan,73.4
Vanuata,0.0
Venezuela,62.2
Viet Nam,62.8
Yemen,95.1
Zambia,113.7
Zimbabwe,81.9
